Tree_Sp_Name,Eq_1,Eq_2,Eq_3,Eq_4,Eq_5,Notes 
Micrurus_catamayensis,,,,,,
Micrurus_renjifoi,,,,,,
Micrurus_oligoanellatus,,,,,,
Micrurus_scutiventris,,,,,,
Micrurus_meridensis,,,,,,
Micrurus_tamaulipensis,,,,,,
Micrurus_pacaraimae,,,,,,
Thalassophis_anomalus,,,,,,
Naja_crawshayi,,,,,,
Elapsoidea_chelazziorum,,,,,,
Elapsoidea_broadleyi,,,,,,
Kolpophis_annandalei,,,,,,
Hydrophis_bituberculatus,,,,,,
Hydrophis_hendersoni,,,,,,
Emydocephalus_szczerbaki,,,,,,
Vermicella_calonotus,,,,,,
Toxicocalamus_grandis,,,,,,
Toxicocalamus_buergersi,,,,,,
Toxicocalamus_spilolepidotus,,,,,,
Simoselaps_bimaculatus,,,,,,
Parasuta_dwyeri,,,,,,
Parasuta_gouldii,,,,,,
Parasuta_nigriceps,,,,,,
Parasuta_monachus,,,,,,
Parasuta_spectabilis,,,,,,
Parasuta_flagellum,,,,,,
Simoselaps_warro,,,,,,
Laticauda_schistorhynchus,,,,,,
Calliophis_bivirgata,,,,,,
Micrelaps_boettgeri,,,,,,
Micrelaps_tchernovi,,,,,,
Calamophis_sharonbrooksae,,,,,,
Calamophis_jobiensis,,,,,,
Calamophis_katesandersae,,,,,,
Karnsophis_siantaris,,,,,,
Raclitia_indica,,,,,,
Kualatahan_pahangensis,,,,,,
Heurnia_ventromaculata,,,,,,
Homalopsis_hardwickii,,,,,,
Gyiophis_maculosa,,,,,,
Myron_karnsi,,,,,,
Homalophis_gyii,,,,,,
Enhydris_innominata,,,,,,
Brachyorrhos_gastrotaenius,,,,,,
Trimeresurus_trigonocephalus,,,,,,
Trimeresurus_gramineus,,,,,,
Trimeresurus_malabaricus,,,,,,
Trimeresurus_puniceus,,,,,,
Trimeresurus_brongersmai,,,,,,
Trimeresurus_borneensis,,,,,,
Trimeresurus_wiroti,,,,,,
Trimeresurus_rubeus,,,,,,
Trimeresurus_toba,,,,,,
Trimeresurus_buniana,,,,,,
Trimeresurus_sichuanensis,,,,,,
Trimeresurus_andalasensis,,,,,,
Trimeresurus_strigatus,,,,,,
Trimeresurus_barati,,,,,,
Trimeresurus_truongsonensis,,,,,,
Trimeresurus_fucatus,,,,,,
Gloydius_liupanensis,,,,,,
Gloydius_lijianlii,,,,,,
Gloydius_saxatilis,,,,,,
Gloydius_brevicaudus,,,,,,
Atropoides_occiduus,,,,,,
Atropoides_indomitus,,,,,,
Atropoides_olmec,,,,,,
Atropoides_nummifer,,,,,,
Atropoides_mexicanus,,,,,,
Bothrops_lojanus,,,,,,
Bothrops_ayerbei,,,,,,
Bothrops_otavioi,,,,,,
Bothrops_matogrossensis,,,,,,
Bothrops_taeniata,,,,,,
Bothrops_bilineata,,,,,,
Bothrops_marajoensis,,,,,,
Protobothrops_maolanensis,,,,,,
Protobothrops_dabieshanensis,,,,,,
Protobothrops_mangshanensis,,,,,,
Vipera_barani,,,,,,
Vipera_olguni,,,,,,
Vipera_pontica,,,,,,
Vipera_magnifica,,,,,,
Vipera_anatolica,,,,,,
Vipera_shemakhensis,,,,,,
Daboia_deserti,,,,,,
Montivipera_kuhrangica,,,,,,
Macrovipera_schweizeri,,,,,,
Macrovipera_lebetina,,,,,,
Causus_rasmusseni,,,,,,
Atheris_mabuensis,,,,,,
Atheris_anisolepis,,,,,,
Atheris_acuminata,,,,,,
Atheris_subocularis,,,,,,
Atheris_katangensis,,,,,,
Atheris_matildae,,,,,,
Bitis_inornata,,,,,,
Bitis_albanica,,,,,,
Cerastes_boehmei,,,,,,
Echis_hughesi,,,,,,
Echis_jogeri,,,,,,
Echis_megalocephalus,,,,,,
Pareas_nigriceps,,,,,,
Pareas_iwasakii,,,,,,
Achalinus_ater,,,,,,
Achalinus_jinggangensis,,,,,,
Parafimbrios_lao,,,,,,
Stoliczkia_khasiensis,,,,,,
Stoliczkia_borneensis,,,,,,
Bolyeria_multocarinata,,,,,,
Xenophidion_schaeferi,,,,,,
Xenophidion_acanthognathus,,,,,,
Eryx_borrii,,,,,,
Eryx_tataricus,,,,,,
